VEHICLE,98537462571,OPF-0532
VEHICLE,23422997124,BAE-1960
VEHICLE,97458113513,ZQE-1111
VEHICLE,63451957153,FGE-3031
VEHICLE,94385936967,PLD-9564
VEHICLE,26832476922,ALK-2112
VEHICLE,48736937971,AAC-5532
VEHICLE,88373269989,AAC-1234
OWNER,23422997124,Dimitris,Dimitrakis
OWNER,26832476922,Maria,Mariaki
OWNER,48736937971,Vasilis,Vasilakis
OWNER,63451957153,Alekos,Alekakis
OWNER,88373269989,Nick,Mpak
OWNER,94385936967,Manos,Manoglou
OWNER,97458113513,Katerina,Katerinou
OWNER,98537462571,Giorgos,Giorgoulakis
INSURANCE,23422997124,AAC-1234,2019-05-10
INSURANCE,48736937971,AAC-5532,2014-07-10
INSURANCE,26832476922,ALK-2112,2050-03-19
INSURANCE,23422997124,BAE-1960,1999-03-19
INSURANCE,63451957153,FGE-3031,2008-09-23
INSURANCE,98537462571,OPF-0532,2002-01-03
INSURANCE,94385936967,PLD-9564,2001-12-18
INSURANCE,97458113513,ZQE-1111,1991-12-18

